"dispersal_scale","sigma","divergence_threshold","model","NSP","LDG","Occ","Gamma","PD","MPD","MNTD","MBS","SDBS","MT","SDT","TBS"
260.608695652174,0.00523320158102767,2.699604743083,"SA_model_16",383,0.318728589141302,0.970654627539503,9.45693180923087,-0.776444848360222,-0.646832326261701,-0.646832326261701,0.667526091784277,0.0179093923096932,1.0017782917649,0.0565418686904763,0.049578711204693
485.241106719368,0.00978656126482214,1.68774703557312,"SA_model_17",18,0.361371982628624,0.975169300225734,-1.57936928424306,1.47211478247308,1.19874077500388,1.19874077500388,0.80626535091722,0.0443776291559791,1.20637873891941,0.0772484522693454,-0.802597402597403
597.557312252964,0.00295652173913043,1.18181818181818,"SA_model_18",25,0.273573328223549,0.975169300225734,-2.00659563673262,0.986463014342845,0.884897276039597,0.884897276039597,0.592016853546699,0.00933106883047797,0.969993907361462,0.0411326966498709,-0.195402298850575
372.924901185771,0.0075098814229249,2.19367588932806,"SA_model_19",104,0.573542627543227,0.975169300225734,529.485537551274,1.281852307129,1.12223683186258,1.12223683186258,0.737335212970323,0.0254906558304245,1.12985035363426,0.0362341433388757,0.018551623687606
429.083003952569,0.00181818181818182,1.94071146245059,"SA_model_20",33,0.51639416255968,0.975169300225734,1.60762627778779,1.11130783306102,0.942982695039418,0.942982695039418,0.555792187767191,0.00713803470238189,0.900485539099626,0.0407115790748072,-0.111740696278511
653.715415019763,0.00637154150197628,2.95256916996047,"SA_model_21",10,0.118776595094249,0.977426636568849,-3.41648723988371,0.982651377193505,0.982651377193731,0.982651377193731,0.710187865238219,0.0165287039332336,1.06493681434412,0.0687801634091523,0.559440559440559
541.399209486166,0.00409486166007905,2.44664031620553,"SA_model_22",10,0.0866456138229627,0.972911963882618,-4.10464445110435,0.732894974559594,0.732894974559681,0.732894974559681,0.637739903775955,0.0144137090900698,0.984235107184346,0.0654099623529412,0.309090909090909
316.766798418972,0.00864822134387352,1.43478260869565,"SA_model_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288.687747035573,0.00238735177865613,2.06719367588933,"SA_model_24",956,0.429702972842313,0.972911963882618,-345.584307509965,-1.04890236234006,-0.309276399296661,-0.309276399296661,0.577999342810352,0.00894989261500477,0.903905088419459,0.0432607809946158,0.30059744677618
513.320158102767,0.00694071146245059,1.05533596837945,"SA_model_25",105,0.68186089020239,0.977426636568849,5.67530961460783,2.15725587354473,1.87227584440227,1.87227584440227,0.727576495448124,0.0181538693150166,1.12310544606552,0.0359722524312821,0.0432490147398392
625.636363636364,0.00466403162055336,1.56126482213439,"SA_model_26",10,0.155978326809718,0.977426636568849,-4.13600552642791,0.787255873201009,0.787255873201026,0.787255873201026,0.642998023007599,0.016111866369442,1.006325589775,0.0567464733207784,-0.345454545454545
401.00395256917,0.00921739130434783,2.57312252964427,"SA_model_27",19,0.269815094752615,0.975169300225734,-0.809583673725488,1.12521730807445,0.928785765554721,0.928785765554721,0.820962013122886,0.029996520658493,1.16695249643857,0.0691994878014823,0.17
344.845849802372,0.00352569169960474,1.30830039525692,"SA_model_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.478260869565,0.00807905138339921,2.3201581027668,"SA_model_29",10,0.188083477745361,0.977426636568849,-4.89897948556636,-1.60393394076772e-16,0,0,0.756003633395141,0.0183187291012252,1.11497105303329,0.0801133838826058,-0.0666666666666667
457.162055335968,0.00124901185770751,2.82608695652174,"SA_model_30",10,0.173638694264873,0.975169300225734,-4.89897948556636,-5.13258861045671e-16,0,0,0.541701297034962,0.00429392590213281,0.884698854028579,0.0572775019419786,0.260606060606061
232.529644268775,0.00580237154150198,1.81422924901186,"SA_model_31",2052,0.231541269839141,0.975169300225734,-244.284394338552,-0.826011018617203,-0.590298712794105,-0.590298712794105,0.679127897048674,0.0227770219736291,0.930051741244,0.0480770865279874,0.314929820871799
239.549407114625,0.00338339920948617,2.22529644268775,"SA_model_32",2217,0.238645575289783,0.975169300225734,-218.244804108996,-0.0625492271637966,1.46195004061876,1.46195004061876,0.61342172794699,0.0133890858226604,0.932112123626081,0.0470571916714106,-0.0245098625327881
